filename,count,locations
IMG_2.jpg,75,"[[351, 817], [500, 155], [212, 299], [620, 495], [608, 965], [57, 837], [268, 560], [421, 456], [258, 45], [448, 978], [526, 666], [142, 804], [434, 215], [367, 295], [410, 41], [610, 302], [169, 976], [190, 501], [148, 694], [435, 639], [183, 79], [137, 240], [480, 736], [348, 401], [523, 587], [568, 60], [353, 978], [532, 361], [256, 133], [270, 453], [251, 819], [616, 870], [450, 816], [76, 624], [603, 148], [86, 981], [116, 439], [335, 654], [331, 65], [346, 497], [540, 971], [302, 898], [241, 656], [201, 893], [610, 556], [283, 348], [300, 737], [67, 730], [507, 889], [604, 219], [106, 536], [259, 977], [294, 243], [393, 732], [614, 631], [169, 597], [151, 158], [440, 543], [449, 293], [488, 64], [607, 720], [202, 400], [522, 497], [217, 211], [213, 743], [404, 897], [428, 128], [343, 157], [623, 366], [104, 902], [529, 256], [432, 369], [559, 802], [361, 576], [136, 344]]"
IMG_115.jpg,47,"[[529, 137], [111, 246], [285, 24], [336, 251], [485, 308], [439, 40], [242, 295], [77, 72], [264, 374], [251, 51], [381, 146], [524, 82], [185, 333], [414, 285], [502, 223], [110, 109], [403, 102], [66, 320], [571, 296], [452, 182], [285, 325], [547, 385], [285, 221], [58, 204], [151, 168], [199, 21], [572, 230], [197, 286], [568, 184], [341, 78], [571, 127], [468, 83], [330, 385], [235, 202], [401, 211], [564, 77], [341, 22], [526, 314], [181, 74], [307, 96], [449, 269], [171, 388], [487, 172], [137, 316], [393, 339], [305, 50], [68, 127]]"
IMG_129.jpg,65,"[[320, 758], [222, 210], [665, 393], [208, 421], [666, 638], [71, 795], [592, 873], [449, 497], [597, 209], [425, 890], [163, 362], [192, 692], [146, 253], [245, 874], [372, 359], [87, 531], [413, 716], [290, 608], [699, 255], [362, 113], [232, 809], [553, 622], [214, 296], [107, 73], [462, 313], [91, 985], [590, 978], [358, 972], [263, 116], [336, 535], [529, 81], [174, 522], [272, 459], [421, 789], [487, 658], [75, 266], [334, 828], [566, 746], [112, 715], [697, 533], [416, 216], [569, 347], [211, 966], [370, 629], [351, 261], [119, 451], [387, 462], [357, 899], [468, 950], [683, 173], [705, 922], [631, 801], [157, 778], [515, 237], [663, 352], [117, 170], [140, 877], [80, 602], [446, 427], [213, 604], [250, 526], [495, 551], [284, 354], [294, 694], [171, 134]]"
IMG_23.jpg,56,"[[379, 704], [577, 239], [690, 604], [316, 901], [123, 275], [751, 361], [307, 242], [795, 202], [528, 516], [482, 831], [662, 807], [785, 822], [221, 848], [432, 13], [648, 397], [496, 616], [791, 639], [370, 440], [434, 146], [839, 343], [592, 590], [100, 209], [782, 539], [454, 722], [437, 532], [471, 270], [384, 804], [674, 291], [561, 420], [770, 1011], [724, 720], [86, 693], [218, 237], [593, 22], [410, 922], [862, 106], [835, 704], [881, 574], [346, 137], [210, 597], [718, 472], [561, 863], [870, 255], [552, 760], [803, 432], [461, 434], [387, 625], [643, 199], [84, 808], [585, 312], [773, 277], [407, 217], [308, 21], [371, 339], [631, 503], [604, 674]]"
IMG_99.jpg,64,"[[266, 573], [395, 210], [177, 398], [159, 186], [364, 374], [221, 42], [396, 467], [168, 551], [53, 151], [455, 121], [442, 317], [218, 307], [175, 609], [240, 403], [117, 57], [359, 8], [374, 549], [320, 327], [306, 150], [150, 294], [57, 462], [446, 224], [227, 224], [454, 530], [458, 380], [93, 109], [367, 328], [256, 463], [190, 498], [315, 605], [221, 629], [64, 217], [400, 138], [164, 13], [272, 31], [419, 271], [215, 172], [310, 396], [145, 124], [270, 521], [90, 545], [126, 597], [168, 250], [219, 112], [396, 51], [417, 520], [429, 167], [176, 443], [258, 283], [162, 350], [404, 411], [101, 184], [100, 417], [323, 59], [203, 566], [323, 191], [267, 88], [70, 263], [84, 490], [338, 445], [307, 235], [450, 458], [245, 360], [354, 278]]"
IMG_87.jpg,63,"[[526, 696], [494, 175], [328, 659], [251, 780], [412, 393], [398, 1009], [209, 915], [442, 32], [241, 468], [507, 923], [323, 201], [661, 292], [376, 442], [272, 705], [507, 436], [512, 602], [591, 815], [418, 749], [345, 122], [264, 321], [382, 511], [521, 360], [363, 901], [587, 161], [344, 339], [320, 570], [617, 708], [187, 847], [404, 178], [515, 773], [451, 331], [447, 232], [324, 270], [592, 234], [393, 682], [384, 602], [266, 628], [340, 745], [165, 915], [526, 268], [203, 708], [572, 899], [566, 44], [447, 474], [521, 106], [591, 607], [452, 551], [589, 329], [425, 99], [243, 549], [439, 951], [504, 850], [310, 497], [352, 44], [177, 777], [617, 413], [391, 268], [203, 624], [311, 426], [443, 630], [539, 1010], [192, 985], [264, 392]]"
IMG_105.jpg,61,"[[273, 298], [246, 798], [369, 813], [386, 610], [83, 350], [141, 532], [109, 109], [393, 961], [275, 38], [381, 515], [123, 903], [81, 691], [471, 515], [276, 909], [379, 296], [465, 644], [527, 797], [122, 197], [142, 432], [498, 101], [135, 813], [303, 643], [202, 249], [234, 560], [68, 496], [492, 960], [228, 450], [382, 358], [491, 454], [557, 593], [396, 187], [213, 967], [60, 863], [351, 60], [126, 287], [51, 51], [60, 772], [448, 783], [153, 628], [193, 348], [75, 591], [318, 734], [132, 984], [173, 68], [312, 554], [394, 883], [174, 723], [291, 212], [505, 874], [553, 880], [263, 980], [50, 160], [217, 676], [67, 415], [204, 860], [395, 706], [343, 447], [314, 134], [48, 263], [46, 955], [202, 161]]"
IMG_6.jpg,65,"[[303, 506], [607, 949], [332, 151], [172, 734], [574, 479], [475, 296], [461, 620], [223, 463], [530, 123], [128, 559], [144, 125], [315, 887], [63, 398], [363, 42], [595, 770], [438, 446], [562, 586], [158, 378], [293, 620], [530, 225], [228, 929], [80, 738], [479, 980], [331, 421], [274, 731], [508, 818], [615, 665], [562, 319], [452, 194], [181, 207], [234, 284], [248, 376], [125, 643], [495, 526], [65, 303], [536, 691], [491, 899], [301, 50], [405, 363], [449, 719], [518, 386], [209, 649], [396, 510], [59, 512], [223, 826], [615, 191], [143, 288], [223, 558], [421, 117], [618, 862], [360, 684], [414, 855], [372, 259], [88, 212], [135, 471], [230, 140], [131, 802], [350, 979], [65, 128], [59, 646], [374, 590], [616, 393], [351, 788], [285, 219], [307, 320]]"
IMG_154.jpg,72,"[[169, 365], [212, 712], [105, 155], [107, 631], [128, 993], [275, 300], [230, 508], [282, 173], [47, 510], [64, 834], [47, 256], [274, 846], [170, 515], [105, 937], [43, 721], [205, 631], [222, 273], [195, 405], [278, 536], [223, 35], [49, 441], [259, 671], [173, 821], [105, 217], [167, 307], [38, 604], [43, 898], [154, 589], [102, 484], [281, 468], [205, 880], [154, 752], [166, 244], [50, 323], [106, 91], [273, 731], [54, 381], [43, 951], [110, 415], [193, 990], [107, 696], [221, 454], [162, 675], [183, 65], [129, 863], [86, 754], [45, 131], [270, 610], [229, 338], [174, 944], [165, 183], [282, 244], [264, 900], [257, 106], [68, 989], [277, 788], [152, 451], [68, 566], [114, 539], [224, 155], [165, 118], [239, 989], [213, 794], [38, 785], [268, 395], [118, 340], [217, 568], [53, 659], [48, 192], [115, 801], [105, 280], [234, 217]]"
IMG_166.jpg,70,"[[455, 218], [158, 768], [203, 268], [393, 649], [338, 103], [53, 667], [198, 928], [349, 417], [253, 508], [151, 359], [187, 112], [321, 763], [56, 477], [53, 914], [416, 373], [112, 294], [399, 776], [450, 527], [343, 181], [379, 42], [79, 132], [475, 124], [210, 702], [344, 336], [88, 844], [426, 703], [387, 580], [114, 524], [322, 827], [208, 40], [314, 570], [179, 843], [353, 254], [174, 455], [273, 218], [186, 541], [284, 133], [410, 142], [485, 378], [265, 925], [278, 701], [232, 604], [196, 191], [458, 23], [411, 304], [85, 754], [98, 420], [298, 39], [453, 883], [259, 778], [477, 302], [55, 364], [114, 627], [217, 354], [123, 916], [457, 609], [245, 860], [287, 379], [313, 636], [356, 705], [46, 279], [97, 38], [104, 208], [373, 507], [53, 556], [278, 297], [134, 688], [436, 448], [232, 434], [305, 467]]"
IMG_103.jpg,67,"[[170, 203], [333, 720], [468, 477], [642, 968], [464, 226], [321, 990], [255, 533], [400, 156], [382, 657], [233, 828], [252, 361], [519, 740], [556, 250], [422, 874], [207, 139], [187, 597], [312, 205], [164, 902], [171, 440], [605, 621], [432, 591], [362, 815], [345, 43], [176, 735], [583, 114], [172, 285], [654, 360], [253, 706], [431, 800], [258, 907], [333, 580], [491, 635], [547, 408], [328, 497], [420, 985], [510, 981], [418, 291], [301, 848], [267, 47], [142, 975], [407, 80], [244, 208], [280, 626], [473, 142], [178, 530], [575, 814], [255, 435], [192, 67], [546, 646], [425, 514], [440, 723], [300, 123], [254, 283], [210, 975], [463, 389], [348, 264], [519, 548], [169, 818], [628, 713], [519, 316], [176, 366], [556, 872], [326, 919], [596, 324], [286, 773], [194, 664], [404, 398]]"
IMG_36.jpg,54,"[[265, 558], [333, 218], [326, 797], [182, 65], [259, 337], [330, 411], [378, 679], [205, 795], [202, 562], [274, 669], [315, 39], [185, 172], [324, 270], [327, 475], [345, 138], [318, 731], [235, 450], [276, 225], [297, 611], [287, 117], [262, 894], [377, 421], [280, 498], [207, 28], [251, 726], [383, 561], [375, 310], [303, 170], [291, 375], [187, 887], [220, 673], [374, 806], [267, 784], [326, 668], [370, 173], [217, 233], [385, 238], [228, 514], [278, 840], [353, 612], [379, 748], [234, 76], [249, 280], [328, 544], [373, 485], [208, 320], [237, 616], [313, 320], [283, 434], [199, 746], [245, 174], [357, 361], [213, 122], [230, 384]]"
IMG_95.jpg,49,"[[20, 61], [24, 294], [156, 187], [97, 72], [49, 181], [126, 332], [215, 239], [58, 240], [189, 61], [69, 121], [198, 116], [120, 20], [208, 182], [116, 175], [130, 296], [17, 143], [79, 337], [60, 92], [137, 137], [156, 226], [201, 303], [176, 133], [28, 258], [30, 217], [98, 309], [83, 154], [46, 309], [118, 103], [62, 21], [154, 64], [93, 260], [32, 331], [65, 210], [49, 58], [31, 118], [154, 268], [128, 44], [196, 6], [53, 280], [188, 266], [154, 14], [29, 89], [22, 188], [201, 137], [176, 164], [106, 49], [109, 218], [49, 148], [84, 5]]"
IMG_52.jpg,62,"[[111, 164], [47, 421], [192, 49], [101, 322], [206, 390], [148, 533], [119, 255], [30, 272], [223, 189], [106, 69], [39, 153], [38, 359], [186, 350], [74, 523], [171, 423], [150, 17], [142, 289], [25, 455], [151, 219], [230, 95], [40, 214], [96, 194], [137, 135], [190, 21], [127, 403], [199, 323], [36, 93], [132, 455], [101, 19], [43, 391], [189, 271], [137, 338], [36, 522], [109, 117], [30, 324], [223, 540], [198, 414], [145, 497], [41, 186], [114, 357], [89, 438], [173, 77], [174, 464], [151, 52], [50, 250], [105, 284], [153, 174], [21, 409], [81, 397], [184, 205], [230, 153], [76, 475], [113, 512], [88, 357], [105, 225], [152, 378], [124, 43], [135, 88], [167, 311], [15, 234], [126, 196], [34, 121]]"
IMG_83.jpg,73,"[[538, 653], [353, 406], [158, 822], [149, 185], [703, 206], [458, 898], [190, 570], [415, 685], [435, 133], [496, 347], [334, 278], [695, 762], [354, 877], [96, 978], [165, 371], [524, 490], [674, 483], [79, 369], [234, 153], [354, 618], [88, 112], [66, 867], [209, 964], [661, 920], [614, 213], [708, 608], [97, 543], [458, 61], [268, 541], [103, 622], [568, 955], [668, 141], [513, 740], [714, 402], [262, 338], [615, 778], [442, 982], [174, 689], [552, 583], [172, 81], [658, 1001], [663, 691], [264, 847], [322, 746], [227, 246], [428, 292], [565, 273], [434, 784], [290, 62], [570, 139], [137, 292], [473, 428], [409, 501], [173, 468], [125, 901], [59, 271], [667, 283], [256, 434], [620, 357], [268, 657], [314, 956], [399, 42], [125, 739], [454, 588], [73, 456], [341, 160], [59, 190], [560, 859], [519, 210], [672, 31], [587, 414], [715, 870], [243, 752]]"
IMG_70.jpg,66,"[[113, 574], [228, 202], [332, 426], [122, 91], [230, 348], [350, 155], [233, 19], [304, 534], [64, 127], [289, 327], [174, 492], [121, 238], [343, 251], [393, 30], [176, 26], [236, 104], [224, 572], [46, 42], [188, 388], [368, 285], [223, 254], [69, 225], [268, 442], [366, 520], [95, 279], [340, 578], [287, 225], [134, 416], [264, 523], [175, 168], [291, 90], [370, 200], [122, 144], [171, 581], [182, 70], [281, 34], [60, 174], [107, 323], [343, 83], [312, 491], [375, 400], [265, 279], [213, 302], [98, 21], [110, 518], [153, 286], [250, 390], [277, 170], [226, 494], [269, 572], [127, 368], [138, 468], [181, 443], [168, 228], [383, 454], [322, 381], [231, 58], [203, 534], [183, 126], [350, 334], [61, 85], [114, 192], [226, 146], [157, 539], [167, 337], [331, 215]]"
IMG_41.jpg,54,"[[374, 531], [466, 723], [215, 291], [441, 107], [223, 721], [609, 455], [383, 974], [270, 567], [506, 271], [312, 150], [602, 638], [618, 290], [582, 953], [405, 746], [248, 475], [339, 612], [414, 422], [684, 390], [310, 285], [144, 709], [474, 495], [324, 865], [380, 49], [396, 161], [68, 809], [217, 155], [224, 936], [479, 586], [656, 716], [263, 645], [465, 801], [403, 287], [552, 365], [120, 445], [620, 200], [162, 603], [476, 898], [553, 571], [706, 490], [59, 240], [290, 793], [319, 43], [326, 700], [94, 160], [368, 221], [515, 149], [242, 364], [590, 721], [722, 263], [517, 21], [336, 405], [178, 221], [432, 651], [558, 505]]"
